time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
0.026,0.1945,0.6,0.8302,-0.031706478,0.006442815,0.223993763,-0.105407715,-0.553656697,-0.003194173
0.026,0.2671,0.6002,0.8058,-0.031706478,0.006442815,0.223993763,-0.105407715,-0.553656697,-0.003194173
0.026,0.3294,0.5873,0.7835,-0.031706478,0.006442815,0.223993763,-0.105407715,-0.553656697,-0.003194173
0.026,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.105407715,-0.553656697,-0.003194173
0.026,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.139478892,-0.670776367,0.006388347
0.026,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.174614802,-0.780443013,0.020229764
0.027,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.196974009,-0.833679199,0.050042048
0.027,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.208685979,-0.794284403,0.079854332
0.027,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.21081543,-0.678229451,0.073465981
0.027,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.200168192,-0.53342694,0.021294488
0.027,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.17780897,-0.387559682,-0.031941731
0.027,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.150126144,-0.24808079,-0.050042048
0.027,0.348,0.576,0.7662,-0.031706478,0.006442815,0.223993763,-0.150126144,-0.24808079,-0.050042048
0.028,0.348,0.576,0.7662,-0.116301179,0.409192532,0.230371311,-0.150126144,-0.24808079,-0.050042048
0.064,0.348,0.576,0.7662,-0.116301179,0.409192532,0.230371311,-0.150126144,-0.24808079,-0.050042048
0.096,0.3429,0.5601,0.7508,-0.116301179,0.409192532,0.230371311,-0.150126144,-0.24808079,-0.050042048
0.096,0.2867,0.5704,0.7654,-0.116301179,0.409192532,0.230371311,-0.150126144,-0.24808079,-0.050042048
0.096,0.2439,0.5511,0.794,-0.116301179,0.409192532,0.230371311,-0.150126144,-0.24808079,-0.050042048
0.096,0.2437,0.5418,0.7803,-0.116301179,0.409192532,0.230371311,-0.150126144,-0.24808079,-0.050042048
