time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
0.07,1.5107412,3.3770216,15.720328,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.15,0.9588778,4.211401,15.067908,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.23,0.9588778,4.211401,15.067908,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.31,1.0690111,2.8407204,11.860875,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.39,1.0690111,2.8407204,11.860875,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.48,1.0690111,2.8407204,11.860875,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.56,1.7609353,4.924873,8.536526,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.64,1.7609353,4.924873,8.536526,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.72,1.7609353,4.924873,8.536526,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.81,0.37948096,5.7377043,0.08140286,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.89,0.37948096,5.7377043,0.08140286,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
0.97,0.062249243,8.775947,5.3522377,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.06,0.062249243,8.775947,5.3522377,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.13,0.062249243,8.775947,5.3522377,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.21,-0.051475335,6.9132576,8.66701,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.29,-0.051475335,6.9132576,8.66701,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.37,-0.051475335,6.9132576,8.66701,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.45,0.5793968,6.1088057,8.115147,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.53,0.5793968,6.1088057,8.115147,0.44567394,-2.320167,7.112694,-0.86179894,-0.039414786,-0.083090626
1.62,2.8622682,6.685808,3.8007953,2.2758527,1.3464217,-4.403924,1.5222629,1.4807175,0.95128113
1.7,2.8622682,6.685808,3.8007953,2.2758527,1.3464217,-4.403924,1.5222629,1.4807175,0.95128113
1.78,2.8622682,6.685808,3.8007953,2.2758527,1.3464217,-4.403924,1.5222629,1.4807175,0.95128113
1.86,2.9017725,6.862979,4.2760444,2.2758527,1.3464217,-4.403924,1.5222629,1.4807175,0.95128113
1.95,2.9017725,6.862979,4.2760444,2.2758527,1.3464217,-4.403924,1.5222629,1.4807175,0.95128113
2.03,2.7760768,6.3206925,5.141548,2.2758527,1.3464217,-4.403924,1.5222629,1.4807175,0.95128113
2.11,2.7760768,6.3206925,5.141548,2.2758527,1.3464217,-4.403924,1.5222629,1.4807175,0.95128113
